timestamp,data
1724181276.328214,"[0.025940453924909825, 0.013545439319078924, 0.1408927509611637, 0.0, 0.0, 0.0]"
1724181276.3285375,"[0.03222912456629925, 0.014433208770685439, 0.14632958295614515, 0.0, 0.0, 0.0]"
1724181276.3357248,"[0.03245502964503499, 0.014534376121881831, 0.147355257603034, 0.0, 0.0, 0.0]"
1724181276.3484397,"[0.03459069718047499, 0.01614211853181227, 0.1454486509805404, 0.0, 0.0, 0.0]"
1724181276.3586664,"[0.03491146293151502, 0.016339854790274177, 0.14411412660880263, 0.0, 0.0, 0.0]"
1724181276.37515,"[0.03515132527854677, 0.01645218511245502, 0.14510284849694413, 0.0, 0.0, 0.0]"
1724181276.3877234,"[0.05001907279383803, 0.01639162202164272, 0.13981909918131852, 0.0, 0.0, 0.0]"
1724181276.3939722,"[0.05033559495578033, 0.016577931420659206, 0.13800544475911664, 0.0, 0.0, 0.0]"
1724181276.4032893,"[0.05070916016955096, 0.01675041054680346, 0.13708420477236238, 0.0, 0.0, 0.0]"
1724181276.4157307,"[0.051902642244828406, 0.016397651466816893, 0.1378663557416127, 0.0, 0.0, 0.0]"
1724181276.4198284,"[0.05249470892533196, 0.016148017337614357, 0.1374346242875024, 0.0, 0.0, 0.0]"
1724181276.4278982,"[0.0656796936894113, 0.012282126247659618, 0.1325391747982748, 0.0, 0.0, 0.0]"
1724181276.4355245,"[0.06614006537415017, 0.012368215917619848, 0.13346818770573932, 0.0, 0.0, 0.0]"
1724181276.4555504,"[0.06806588152307039, 0.01255160774644605, 0.13352001595756585, 0.0, 0.0, 0.0]"
1724181276.463949,"[0.06970300375979444, 0.012155030207729326, 0.1262566822099045, 0.0, 0.0, 0.0]"
1724181276.4673939,"[0.0701881754797002, 0.012239635986437418, 0.1271354990234305, 0.0, 0.0, 0.0]"
1724181276.467579,"[0.07197442010645501, 0.01363137433708183, 0.12714747148781474, 0.0, 0.0, 0.0]"
1724181276.475894,"[0.0724687114962686, 0.013725142259985737, 0.1280202122895477, 0.0, 0.0, 0.0]"
1724181276.4887047,"[0.07498505976818459, 0.01571241430723564, 0.127045812978335, 0.0, 0.0, 0.0]"
1724181276.4897814,"[0.0783933824284649, 0.01467951841958176, 0.12633570808545846, 0.0, 0.0, 0.0]"
1724181276.497282,"[0.08008383037478414, 0.01507723135052751, 0.12637883396859823, 0.0, 0.0, 0.0]"
1724181276.506519,"[0.08064131409475624, 0.015182191660316034, 0.1272584599263397, 0.0, 0.0, 0.0]"
1724181276.5099123,"[0.09138956806876095, 0.011208727276950516, 0.11893126682419371, 0.0, 0.0, 0.0]"
1724181276.5162988,"[0.09203014915335506, 0.011287293122349702, 0.11976489719912965, 0.0, 0.0, 0.0]"
1724181276.5257034,"[0.09314452662041736, 0.01137324567453286, 0.119725352102156, 0.0, 0.0, 0.0]"
1724181276.5359662,"[0.09553687517819869, 0.01187577155765426, 0.12034636606123074, 0.0, 0.0, 0.0]"
1724181276.5460021,"[0.09692740957799431, 0.01208949882337262, 0.12028955802152602, 0.0, 0.0, 0.0]"
